Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9008059,"Interleukin-37 signaling",1,36,0.0023032629558541267,0.9746667053993658,0.9746667053993658,1,14,9.333333333333333E-4,9606,Homo sapiens,"5778","","R-HSA-9008894"
R-HSA-192823,"Viral mRNA Translation",6,114,0.007293666026871401,0.9747217355997951,0.9747217355997951,2,2,1.3333333333333334E-4,9606,Homo sapiens,"28671;17196;38397;34114;9349;6128;68440;32635","","R-HSA-192704;R-HSA-192841"
R-HSA-8980692,"RHOA GTPase cycle",9,154,0.009852847088931542,0.9747354524724953,0.9747354524724953,3,6,4.0E-4,9606,Homo sapiens,"50619;16283;26078;15365;15864;28865;28716;85470;32425","","R-HSA-9013009;R-HSA-8980691;R-HSA-8981637"
R-HSA-1234174,"Cellular response to hypoxia",4,86,0.0055022392834293025,0.9753343050628648,0.9753343050628648,13,20,0.0013333333333333333,9606,Homo sapiens,"33442;1387;35420;17898","","R-HSA-1234163;R-HSA-1234167;R-HSA-1235035;R-HSA-1234169;R-HSA-1235070;R-HSA-1234175;R-HSA-1234172;R-HSA-1235037;R-HSA-1234173;R-HSA-1234179;R-HSA-1234177;R-HSA-1234183;R-HSA-1234159"
R-HSA-1236975,"Antigen processing-Cross presentation",7,128,0.00818937939859245,0.9753418778248226,0.9753418778248226,13,23,0.0015333333333333334,9606,Homo sapiens,"16827;17533;33442;16410;16474;16437;16040","","R-HSA-8951595;R-HSA-1236955;R-HSA-1236958;R-HSA-8863914;R-HSA-1236956;R-HSA-8863895;R-HSA-1236935;R-HSA-8863858;R-HSA-1236967;R-HSA-1236970;R-HSA-1236939;R-HSA-1236940;R-HSA-1236941"
R-HSA-373755,"Semaphorin interactions",3,71,0.00454254638515675,0.9755282379559123,0.9755282379559123,14,41,0.0027333333333333333,9606,Homo sapiens,"17200;28197;20912","","R-HSA-399941;R-HSA-399939;R-HSA-399951;R-HSA-399946;R-HSA-399947;R-HSA-399944;R-HSA-399952;R-HSA-399934;R-HSA-399935;R-HSA-399933;R-HSA-416698;R-HSA-399930;R-HSA-399931;R-HSA-399928"
R-HSA-6790901,"rRNA modification in the nucleus and cytosol",3,71,0.00454254638515675,0.9755282379559123,0.9755282379559123,2,8,5.333333333333334E-4,9606,Homo sapiens,"17509;27971;17967","","R-HSA-8868783;R-HSA-6790906"
R-HSA-8854050,"FBXL7 down-regulates AURKA during mitotic entry and in early mitosis",2,55,0.0035188739603326936,0.9759480546359911,0.9759480546359911,6,6,4.0E-4,9606,Homo sapiens,"33442;176466","","R-HSA-8854071;R-HSA-8854052;R-HSA-8854051;R-HSA-8854044;R-HSA-8854041;R-HSA-8853496"
R-HSA-174113,"SCF-beta-TrCP mediated degradation of Emi1",2,55,0.0035188739603326936,0.9759480546359911,0.9759480546359911,3,3,2.0E-4,9606,Homo sapiens,"33442;176466","","R-HSA-174209;R-HSA-174203;R-HSA-174159"
R-HSA-1483191,"Synthesis of PC",2,55,0.0035188739603326936,0.9759480546359911,0.9759480546359911,5,18,0.0012,9606,Homo sapiens,"15355;15354","","R-HSA-1483159;R-HSA-372519;R-HSA-444433;R-HSA-264622;R-HSA-1483004"
